Installed apps:

Name                    Version                  Source                                                  Updated             Info
----                    -------                  ------                                                  -------             ----
7zip                    24.09                    main                                                    2024-12-01 12:57:19 
act                     0.2.76                   main                                                    2025-04-01 21:17:14 
bat                     0.25.0                   main                                                    2025-01-08 20:43:31 
broot                   1.45.1                   main                                                    2025-03-26 20:35:35 
btop                    1.0.4                    main                                                    2023-10-29 02:33:37 
bun                     1.2.8                    main                                                    2025-04-01 09:26:23 
cacert                  2025-02-25               main                                                    2025-02-25 23:22:22 
carapace-bin            1.3.0                    extras                                                  2025-04-01 21:17:52 
ccache                  4.11.2                   main                                                    2025-03-23 16:52:46 
clink                   1.7.14                   main                                                    2025-04-03 15:37:46 
ctags                   5.8                      main                                                    2023-10-29 02:34:16 
dark                    3.14                     main                                                    2024-02-25 02:38:58 
dbmate                  2.26.0                   main                                                    2025-04-03 17:57:21 
delta                   0.18.2                   main                                                    2024-09-13 17:14:14 
deno                    2.2.8                    main                                                    2025-04-06 11:38:27 
difftastic              0.63.0                   main                                                    2025-02-12 21:04:30 
direnv                  2.35.0                   main                                                    2025-01-04 21:53:45 
dotnet-sdk              9.0.202                  main                                                    2025-03-19 16:44:37 
dust                    1.2.0                    main                                                    2025-04-03 15:37:48 
erlang                  27.3.2                   main                                                    2025-04-06 11:38:41 
eza                     0.21.0                   main                                                    2025-04-03 15:37:50 
fastfetch               2.40.3                   main                                                    2025-04-08 10:52:10 
fd                      10.2.0                   main                                                    2024-08-23 22:37:07 
flyctl                  0.3.99                   main                                                    2025-04-08 10:52:17 
fzf                     0.61.1                   main                                                    2025-04-07 02:58:14 
gh                      2.69.0                   main                                                    2025-03-21 07:16:52 
ghostscript             10.04.0                  main                                                    2025-03-30 19:20:15 
gitui                   0.27.0                   main                                                    2025-01-16 22:10:04 
gleam                   1.9.1                    main                                                    2025-03-12 12:53:06 
glfw                    3.4                      main                                                    2025-03-10 12:26:16 
glow                    2.1.0                    main                                                    2025-02-27 22:07:30 
go                      1.24.2                   main                                                    2025-04-03 15:38:26 
gpg                     2.4.7                    main                                                    2025-03-13 17:30:19 
grex                    1.4.5                    main                                                    2024-09-26 23:13:52 
gsudo                   2.6.0                    main                                                    2025-02-28 17:35:12 
hexyl                   0.16.0                   main                                                    2024-12-30 01:13:01 
hyperfine               1.19.0                   main                                                    2025-03-04 11:09:27 
imagemagick             7.1.1-47                 main                                                    2025-03-30 19:18:23 
innounp                 2.64.3                   main                                                    2025-03-17 15:09:49 
jj                      0.28.2                   main                                                    2025-04-08 10:52:21 
jq                      1.7.1                    main                                                    2024-09-15 11:30:26 
just                    1.40.0                   main                                                    2025-03-12 12:53:35 
kitty                   0.76.1.13                extras                                                  2023-10-29 02:33:40 
lazydocker              0.24.1                   main                                                    2024-11-24 14:53:08 
lazygit                 0.48.0                   extras                                                  2025-03-02 07:54:04 
