Installed apps:

Name                    Version                  Source   Updated             Info
----                    -------                  ------   -------             ----
7zip                    25.00                    main     2025-07-10 20:20:15 
act                     0.2.79                   main     2025-07-03 01:02:52 
bat                     0.25.0                   main     2025-01-08 20:43:31 
broot                   1.47.0                   main     2025-06-29 16:20:03 
btop                    1.0.4                    main     2023-10-29 02:33:37 
bun                     1.2.18                   main     2025-07-04 20:54:47 
cacert                  2025-05-20               main     2025-05-21 00:08:39 
carapace-bin            1.3.3                    extras   2025-06-22 15:52:15 
ccache                  4.11.3                   main     2025-05-04 00:16:10 
clink                   1.7.20                   main     2025-06-09 12:19:28 
cppcheck                2.17.1                   main     2025-06-13 07:16:19 
ctags                   5.8                      main     2023-10-29 02:34:16 
dark                    3.14.1                   main     2025-04-18 18:23:48 
dbmate                  2.27.0                   main     2025-04-30 18:03:30 
delta                   0.18.2                   main     2024-09-13 17:14:14 
deno                    2.4.1                    main     2025-07-10 20:20:19 
difftastic              0.64.0                   main     2025-06-18 02:40:52 
direnv                  2.36.0                   main     2025-04-14 15:32:43 
dotnet-sdk              9.0.302                  main     2025-07-10 20:20:34 
duf                     0.8.1                    main     2025-05-14 11:14:26 
dust                    1.2.2                    main     2025-07-10 20:20:35 
erlang                  28.0.1                   main     2025-06-18 02:41:07 
eza                     0.22.0                   main     2025-07-04 20:54:49 
fastfetch               2.47.0                   main     2025-07-04 20:54:52 
fd                      10.2.0                   main     2024-08-23 22:37:07 
flyctl                  0.3.154                  main     2025-07-10 20:49:06 
fq                      0.15.0                   main     2025-06-18 13:55:58 
fzf                     0.64.0                   main     2025-07-10 20:20:40 
gh                      2.75.0                   main     2025-07-10 20:20:42 
ghcup                   0.1.50.2                 main     2025-06-12 23:18:05 
ghostscript             10.05.1                  main     2025-04-30 18:03:56 
git-branchless          0.10.0                   main     2025-07-03 16:58:39 
gitea                   1.24.2                   main     2025-06-22 15:52:25 
gitu                    0.34.0                   extras   2025-06-29 16:20:11 
gitui                   0.27.0                   main     2025-01-16 22:10:04 
gleam                   1.11.1                   main     2025-06-06 14:27:40 
glfw                    3.4                      main     2025-03-10 12:26:16 
glow                    2.1.1                    main     2025-05-31 22:02:59 
go                      1.24.5                   main     2025-07-10 20:21:05 
gpg                     2.4.8                    main     2025-05-17 12:43:51 
grex                    1.4.5                    main     2024-09-26 23:13:52 
gsudo                   2.6.0                    main     2025-02-28 17:35:12 
helm                    3.18.4                   main     2025-07-11 16:18:13 
hexyl                   0.16.0                   main     2024-12-30 01:13:01 
hyperfine               1.19.0                   main     2025-03-04 11:09:27 
imagemagick             7.1.1-47                 main     2025-03-30 19:18:23 
innounp                 2.64.5                   main     2025-06-22 15:52:26 
jj                      0.31.0                   main     2025-07-03 01:03:00 
jq                      1.8.1                    main     2025-07-03 01:03:01 
just                    1.41.0                   main     2025-07-03 01:03:03 
kind                    0.29.0                   main     2025-07-11 16:17:36 
kitty                   0.76.1.13                extras   2023-10-29 02:33:40 
kubeadm                 1.33.2                   main     2025-07-11 16:18:12 
kubectl                 1.33.2                   main     2025-07-11 16:17:35 
lazydocker              0.24.1                   main     2024-11-24 14:53:08 
lazygit                 0.53.0                   extras   2025-07-10 20:21:06 
less                    679                      main     2025-06-22 15:52:27 
libreoffice             25.2.4                   extras   2025-06-09 12:21:03 
lua                     5.4.7-2                  main     2024-07-26 21:16:34 
lua-language-server     3.15.0                   main     2025-06-26 11:31:16 
luarocks                3.12.2                   main     2025-06-29 16:20:15 
Mergiraf                0.12.1                   main     2025-07-10 20:49:09 
meson                   1.8.2                    main     2025-06-12 19:25:00 
micro                   2.0.14                   main     2024-10-30 23:09:33 
miller                  6.14.0                   main     2025-07-10 20:21:10 
mingw-winlibs-llvm-ucrt 14.2.0-19.1.1-12.0.0-r2  versions 2024-10-22 21:52:17 
minikube                1.36.0                   main     2025-07-11 16:17:47 
mise                    2025.7.3                 main     2025-07-10 20:21:13 
msys2                   2025-06-22               main     2025-06-23 20:04:41 
neofetch                7.1.0                    main     2024-01-31 01:04:17 
neovide                 0.15.0                   extras   2025-04-03 15:38:41 
neovim                  0.11.2                   main     2025-05-31 22:03:03 
nodejs                  24.4.0                   main     2025-07-10 20:21:19 
notepadplusplus         8.8.3                    extras   2025-07-10 20:21:21 
nu                      0.105.1                  main     2025-06-11 16:35:55 
nuget                   6.14.0                   main     2025-05-18 18:09:25 
odin                    2025-07                  versions 2025-07-10 20:21:30 
openssh                 9.8.3.0p2                main     2025-04-19 17:35:22 
openssl                 3.5.1                    main     2025-07-03 01:04:04 
ouch                    0.6.1                    main     2025-07-11 05:38:06 
ov                      0.42.1                   main     2025-07-03 01:04:06 
pandoc                  3.7.0.2                  main     2025-05-30 08:26:22 
pkg-config              0.26-1                   main     2025-02-24 04:33:31 
podman                  5.5.2                    main     2025-07-11 16:16:49 
podman-desktop          1.19.2                   extras   2025-07-11 16:17:21 
podman-tui              1.6.1                    main     2025-07-11 16:16:52 
poppler                 24.08.0-0                main     2024-10-07 23:09:23 
prince                  16.1                     main     2025-07-10 20:21:33 
psfzf                   2.6.10                   extras   2025-06-18 02:41:13 
python                  3.13.5                   main     2025-06-13 07:34:34 
python310               3.10.11                  versions 2023-12-27 04:02:04 
python311               3.11.9                   versions 2024-04-03 22:12:51 
qutebrowser             3.5.1                    extras   2025-06-09 12:21:23 
ripgrep                 14.1.1                   main     2024-09-09 21:24:05 
sccache                 0.10.0                   main     2025-02-25 11:06:39 
sd                      1.0.0                    main     2025-05-28 14:50:50 
sdl2                    2.32.8                   extras   2025-06-03 17:56:51 
sdl2-ttf                2.24.0                   extras   2025-02-24 04:22:42 
sed                     4.9                      main     2023-09-08 01:42:38 
sqlite                  3.50.2                   main     2025-06-29 16:20:20 
starship                1.23.0                   main     2025-04-29 08:38:28 
supabase                2.30.4                   main     2025-07-03 01:04:08 
surrealdb               2.3.7                    main     2025-07-10 20:21:35 
tea                     0.9.2                    main     2025-06-05 18:53:30 
tealdeer                1.7.2                    main     2025-04-20 22:39:48 
tectonic                0.15.0                   main     2025-04-23 13:47:06 
television              0.12.2                   extras   2025-07-10 20:49:10 
tokei                   12.1.2                   main     2024-09-26 23:13:53 
tree-sitter             0.25.6                   main     2025-06-05 17:19:21 
typst                   0.13.1                   main     2025-04-23 13:54:09 
universal-ctags         6.1.0                    extras   2024-01-01 10:50:53 
upm                     1.0                      main     2023-11-11 18:52:39 
uutils-coreutils        0.1.0                    main     2025-07-04 15:05:40 
vcredist2022            14.44.35211.0            extras   2025-07-10 20:21:52 
vesktop                 1.5.8                    extras   2025-07-10 20:22:03 
vlc                     3.0.21                   extras   2024-10-27 14:37:52 
wezterm                 20240203-110809-5046fc22 extras   2024-10-22 22:40:12 
wezterm-nightly         nightly-20250609         versions 2025-06-09 13:19:49 
wget                    1.21.4                   main     2023-11-21 16:47:10 
win32yank               0.1.1                    main     2024-05-10 21:36:48 
windhawk                1.6.1                    extras   2025-07-04 15:14:59 
wkhtmltopdf             0.12.6-1                 main     2025-04-26 23:05:57 
xsv                     0.13.0                   main     2024-09-26 23:13:50 
yazi-nightly            ec90f26                  versions 2025-06-18 02:41:19 
zed-nightly             2025-08-04               versions 2025-04-09 02:01:07 
zig                     0.14.1                   main     2025-05-26 20:08:46 
zls                     0.14.0                   main     2025-04-10 13:32:02 
zoxide                  0.9.8                    main     2025-05-28 11:08:21 

