
Name                   Version                  Source   Updated             Info
----                   -------                  ------   -------             ----
7zip                   23.01                    main     2023-09-03 18:30:05 
bat                    0.24.0                   main     2023-10-29 02:33:36 
broot                  1.36.1                   main     2024-03-11 19:39:46 
btop                   1.0.4                    main     2023-10-29 02:33:37 
bun                    1.1.0                    main     2024-04-03 22:08:29 
cacert                 2024-03-11               main     2024-03-14 19:21:47 
cmake                  3.29.0                   main     2024-03-22 21:34:59 
ctags                  5.8                      main     2023-10-29 02:34:16 
dark                   3.14                     main     2024-02-25 02:38:58 
fd                     9.0.0                    main     2023-12-25 02:33:29 
fzf                    0.48.1                   main     2024-03-17 23:56:10 
gcc                    13.2.0                   main     2024-01-16 17:38:07 
gh                     2.46.0                   main     2024-03-22 21:35:00 
gitui                  0.25.2                   main     2024-03-23 20:28:25 
go                     1.22.1                   main     2024-03-08 20:10:44 
helix                  24.03                    main     2024-04-03 22:12:26 
innounp                0.50                     main     2023-09-12 19:28:52 
kitty                  0.76.1.13                extras   2023-10-29 02:33:40 
lazydocker             0.23.1                   main     2023-11-27 00:59:10 
lazygit                0.41.0                   extras   2024-03-24 23:42:00 
less                   643                      main     2024-04-04 01:29:37 
llvm                                                     2024-02-21 02:36:19 Install failed
lua                    5.4.2                    main     2023-09-16 01:04:46 
lua-language-server    3.7.4                    main     2024-01-06 11:36:26 
luarocks               3.11.0                   main     2024-03-14 19:21:49 
make                   4.4.1                    main     2023-09-03 17:52:10 
mongodb                7.3.0                    main     2024-03-22 21:36:10 
mongodb-compass        1.42.3                   extras   2024-03-22 21:36:24 
mongodb-database-tools 100.9.4                  main     2023-12-08 17:02:24 
mongosh                2.2.2                    extras   2024-03-29 13:20:57 
msys2                  2024-01-13               main     2024-02-21 01:17:09 
neofetch               7.1.0                    main     2024-01-31 01:04:17 
neovide                0.12.2                   extras   2024-01-31 01:00:06 
neovim                 0.9.5                    main     2024-01-01 10:48:50 
nodejs                 21.7.1                   main     2024-03-09 13:28:14 
notepadplusplus        8.6.5                    extras   2024-04-03 22:12:28 
nu                     0.92.0                   main     2024-04-03 22:12:32 
nuget                  6.9.1                    main     2024-02-13 18:36:45 
openssh                9.5.0.0p1                main     2023-12-25 02:33:51 
openssl                3.2.1                    main     2024-02-02 22:50:51 
pycharm                2023.3.5-233.15026.15    extras   2024-03-22 21:37:48 
pyenv                  3.1.1                    main     2023-11-16 21:08:57 
python                 3.12.2                   main     2024-02-08 00:01:22 
python310              3.10.11                  versions 2023-12-27 04:02:04 
python311              3.11.9                   versions 2024-04-03 22:12:51 
ripgrep                14.1.0                   main     2024-01-07 21:50:58 
rust                   1.77.1                   main     2024-03-29 13:22:55 
rustup                 1.27.0                   main     2024-03-14 19:21:51 
sed                    4.9                      main     2023-09-08 01:42:38 
starship               1.18.2                   main     2024-03-30 17:37:58 
tree-sitter            0.22.2                   main     2024-03-17 23:56:18 
universal-ctags        6.1.0                    extras   2024-01-01 10:50:53 
upm                    1.0                      main     2023-11-11 18:52:39 
vcredist2022           14.38.33135.0            extras   2024-03-07 21:47:19 
wezterm                20240203-110809-5046fc22 extras   2024-02-04 11:08:03 
wget                   1.21.4                   main     2023-11-21 16:47:10 
zig-dev                0.12.0-dev.3518          versions 2024-04-03 22:13:14 
zoxide                 0.9.4                    main     2024-02-21 20:57:08 

