
Name                   Version                Source   Updated             Info
----                   -------                ------   -------             ----
7zip                   24.08                  main     2024-08-13 21:17:09 
bat                    0.24.0                 main     2023-10-29 02:33:36 
broot                  1.43.0                 main     2024-08-30 22:24:34 
btop                   1.0.4                  main     2023-10-29 02:33:37 
bun                    1.1.26                 main     2024-08-25 23:45:09 
cacert                 2024-07-02             main     2024-07-05 00:16:57 
cmake                  3.30.3                 main     2024-08-30 22:24:48 
ctags                  5.8                    main     2023-10-29 02:34:16 
dark                   3.14                   main     2024-02-25 02:38:58 
delta                  0.18.1                 main     2024-09-06 16:18:38 
difftastic             0.60.0                 main     2024-09-03 03:29:29 
dotnet-sdk             8.0.401                main     2024-08-16 18:55:35 
dust                   1.1.1                  main     2024-09-06 16:59:48 
erlang                 27.0.1                 main     2024-07-12 03:22:06 
fastfetch              2.23.0                 main     2024-09-06 16:57:33 
fd                     10.2.0                 main     2024-08-23 22:37:07 
fzf                    0.55.0                 main     2024-08-30 22:24:50 
gcc                    13.2.0                 main     2024-01-16 17:38:07 
gh                     2.55.0                 main     2024-08-21 22:06:48 
gitui                  0.26.3                 main     2024-06-03 20:37:15 
gleam                  1.4.1                  main     2024-08-05 19:45:20 
glow                   1.5.1                  main     2024-09-03 21:39:42 
go                     1.23.1                 main     2024-09-06 02:56:18 
innounp                0.50                   main     2023-09-12 19:28:52 
kitty                  0.76.1.13              extras   2023-10-29 02:33:40 
lazydocker             0.23.3                 main     2024-05-26 14:45:34 
lazygit                0.43.1                 extras   2024-07-16 12:06:39 
less                   661                    main     2024-07-05 00:17:33 
libreoffice            24.8.0                 extras   2024-08-23 13:22:14 
llvm                   18.1.8                 main     2024-09-06 16:54:25 
lua                    5.4.7-2                main     2024-07-26 21:16:34 
lua-language-server    3.10.5                 main     2024-08-20 17:50:33 
luarocks               3.11.1                 main     2024-06-03 20:37:16 
make                   4.4.1                  main     2023-09-03 17:52:10 
mongodb                7.3.4                  main     2024-08-16 18:58:16 
mongodb-compass        1.44.3                 extras   2024-09-06 16:11:09 
mongodb-database-tools 100.10.0               main     2024-07-26 21:16:42 
mongosh                2.3.1                  extras   2024-09-06 16:11:14 
msys2                  2024-07-27             main     2024-07-28 18:04:23 
neofetch               7.1.0                  main     2024-01-31 01:04:17 
neovide                0.13.3                 extras   2024-07-17 11:30:20 
neovim                 0.10.1                 main     2024-07-26 21:16:46 
ninja                  1.12.1                 main     2024-07-19 04:39:08 
nodejs                 22.8.0                 main     2024-09-06 02:56:39 
notepadplusplus        8.6.9                  extras   2024-07-16 12:06:44 
nu                     0.97.1                 main     2024-08-21 22:06:53 
nuget                  6.11.0                 main     2024-08-14 20:52:10 
openssh                9.5.0.0p1              main     2023-12-25 02:33:51 
openssl                3.3.2                  main     2024-09-06 02:57:26 
pycharm                2024.2.1-242.21829.153 extras   2024-08-30 22:25:56 
pyenv                  3.1.1                  main     2023-11-16 21:08:57 
python                 3.12.5                 main     2024-08-08 22:33:12 
python310              3.10.11                versions 2023-12-27 04:02:04 
python311              3.11.9                 versions 2024-04-03 22:12:51 
ripgrep                14.1.0                 main     2024-01-07 21:50:58 
sed                    4.9                    main     2023-09-08 01:42:38 
starship               1.20.1                 main     2024-07-28 18:04:24 
surrealdb              1.5.4                  main     2024-07-11 21:35:35 
tree-sitter            0.23.0                 main     2024-08-27 21:28:01 
universal-ctags        6.1.0                  extras   2024-01-01 10:50:53 
upm                    1.0                    main     2023-11-11 18:52:39 
vcredist2022           14.40.33810.0          extras   2024-05-22 21:47:41 
vesktop                1.5.3                  extras   2024-09-06 18:08:39 
wezterm-nightly        nightly-20240902       versions 2024-09-02 01:09:57 
wget                   1.21.4                 main     2023-11-21 16:47:10 
win32yank              0.1.1                  main     2024-05-10 21:36:48 
yazi                   0.3.3                  main     2024-09-06 17:24:23 
zed-nightly            20240906               versions 2024-09-06 16:11:21 
zoxide                 0.9.4                  main     2024-02-21 20:57:08 

