
Name                     Version               Source Updated             Info
----                     -------               ------ -------             ----
7zip                     23.01                 main   2023-08-21 18:51:04 
bat                      0.24.0                main   2023-10-18 10:58:16 
btop                     1.0.4                 main   2023-10-20 09:18:41 
choeazycopy              2.0.0.1               extras 2023-10-27 17:36:56 
cmake                    3.27.7                main   2023-10-09 11:04:54 
ctags                    5.8                   main   2023-10-02 11:20:16 
dark                     3.11.2                main   2023-09-08 23:24:51 
fd                       8.7.1                 main   2023-10-23 10:19:27 
fzf                      0.43.0                main   2023-10-16 12:56:54 
gcc                      11.2.0                main   2023-08-21 18:51:52 
gh                       2.37.0                main   2023-10-18 18:16:46 
gitui                    0.24.3                main   2023-09-22 12:20:24 
go                       1.21.3                main   2023-10-11 21:00:07 
helix                    23.10                 main   2023-10-27 13:12:16 
innounp                  0.50                  main   2023-09-18 09:34:09 
kitty                    0.76.1.13             extras 2023-10-12 11:11:45 
lazydocker               0.23.1                main   2023-10-16 12:56:57 
lazygit                  0.40.2                extras 2023-09-04 10:01:25 
llvm                     17.0.2                main   2023-10-06 12:22:42 
lua                      5.4.2                 main   2023-09-15 17:44:41 
lua-language-server      3.6.25                main   2023-09-15 17:49:05 
luajit                   2.1.1697887905-1      main   2023-10-27 13:12:20 
luarocks                 3.9.2                 main   2023-09-15 17:44:44 
make                     4.4.1                 main   2023-09-04 10:02:24 
mingw-mstorsjo-llvm-ucrt 17.0.3-20231017       main   2023-10-18 18:20:30 
mingw-nuwen              18.0                  main   2023-09-15 23:29:13 
mingw-winlibs            13.2.0-11.0.1-r1      main   2023-09-15 23:32:04 
mongodb                  7.1.0                 main   2023-10-06 12:23:47 
mongodb-compass          1.40.4                extras 2023-10-23 10:19:53 
mongodb-database-tools   100.9.0               main   2023-10-23 10:20:15 
mongosh                  2.0.2                 extras 2023-10-18 18:20:37 
msys                     rev13                 main   2023-09-15 23:35:00 
msys2                    2023-10-26            main   2023-10-27 13:14:16 
neovide                  0.11.2                extras 2023-09-12 09:10:01 
neovim                   0.9.4                 main   2023-10-10 19:02:56 
nodejs                   21.1.0                main   2023-10-27 13:16:24 
nu                       0.86.0                main   2023-10-18 18:21:25 
openssh                  9.4.0.0p1             main   2023-10-11 21:00:12 
openssl                  3.1.3                 main   2023-09-28 19:21:35 
ptags                    0.3.2                 main   2023-10-02 11:20:18 
pycharm                  2023.2.3-232.10072.31 extras 2023-10-16 12:58:41 
python                   3.12.0                main   2023-10-03 16:42:02 
ripgrep                  13.0.0                main   2023-09-04 10:02:54 
rust                     1.73.0                main   2023-10-06 12:28:52 
rustup                   1.26.0                main   2023-09-18 09:35:37 
sed                      4.9                   main   2023-09-07 13:43:33 
starship                 1.16.0                main   2023-09-28 20:03:07 
tree-sitter              0.20.8                main   2023-09-04 10:11:33 
universal-ctags          6.0.0                 extras 2023-10-02 11:20:07 
vcredist2022             14.36.32532.0         extras 2023-09-14 13:50:56 
zstd                     1.5.5                 main   2023-10-05 20:58:35 

