ack 3.9.0-1
act-bin 0.2.89-0
affine-canary-bin 2026.6.7_canary.1000-1
alt-sendme-bin 0.3.5-1
amber-search-git 0.6.1.62.g39a4-1
ampcode 0.0.1784838101_ga3144b-1
appimagelauncher 3.0.0_beta_3-1
aria2-git 1.37.0.r42.g9e727358-1
ashell 0.9.0-1
bash_unit 2.3.3-1
bdui-bin 0.2.0-1
blanket-git 0.8.0.r49.gd22c2bf-1
cal-com-bin 1.10.1-1
camofox-browser-bin 1.11.2-2
carapace-bin 1.7.3-1
carapace-bridge-bin 1.6.2-1
cbonsai 1.4.2-1
cliamp 1.61.0-1
clock-rs-git r117.g2b37402-1
container-use-bin 0.4.2-2
daggerfall-unity-bin 1.1.1-1
dealve 1.0.2-1
distroav 6.2.1-1
docker-desktop 4.83.0-1
duckscript 0.11.1-1
dumbpipe-bin 0.39.0-1
dxvk-bin 3.0.2-1
electron34 34.5.8-1
electron35 35.7.5-1
electron36 36.9.3-1
electron37 37.5.1-1
evil-helix-bin 20250915-1
exercism 3.5.8-1
fast-git r26.95cc217-1
fastfetch-gif-git 2.42.0-2
fez-dot 0.1.1-3
flameshot-git r2330.7f296158-1
funzzy 1.5.0-2
gamemode-git 1.8.2.38.ga74b810-1
gamescope-nvidia-git 3.16.23.r14.gfa3cd15c-1
gamescope-nvidia-git-debug 3.16.17.r10.g0d3a1979-1
gcc14 14.3.1+r516+g5998566829ee-1
gcc14-libs 14.3.1+r516+g5998566829ee-1
gf2-git r379.1c04ed9-1
ggml-cuda-git 1:b10103.r5.0a50d9909a-1
gh-dash 4.25.2-1
gibo 3.0.22-1
gittop 0.4.0-1
gnu-netcat 0.7.1-12
golings 0.6.2-1
google-breakpad v2024.02.16-2
grok-build 0.2.106-1
herdr-bin 0.7.5-1
hfdownloader-git r148.6dd57ee-1
himalaya-git 1.1.0-1
hunk-bin 0.17.4-1
hyprland-preview-share-picker-git 0.2.1.r9.ge2f30ff-1
hyprpolkitagent-git 0.1.3.r11.g0ee0fd9-1
hyprpwcenter-git 0.1.2.r10.gfd4fd52-1
hyprshot-git 1.3.0.r2.f95068d-1
hyprsunset-git 0.4.0.r0.g25f7043-1
hyprvoice-bin v1.0.2-1
icloudpd-bin 1.32.3-1
imhex-bin 1.38.1-1
jjui-bin 0.10.8-1
jqp 0.8.0-1
kondo-git 0.9.r3.1d351ca-1
kondo-git-debug 0.9.r3.1d351ca-1
kondo-ui-git 0.9.r3.1d351ca-1
lazysql-bin 0.5.5-1
libcuba 4.2.2-1
libsoup 2.74.3-4
libtermkey 0.22-4
linux-wallpaperengine-git r627.b016d7d1-1
llama.cpp-cuda-git b10103.r5.0a50d9909a-1
lmstudio-bin 0.4.20-1
localepurge 0.7.3.11-1
mermaid-ascii-git 1.4.0.r32.gc94ea9a-1
mpvpaper-git r137.3edb0bd-1
ndi-sdk 6.3.2.0.20260413.g5396c5f15-1
neofetch 7.1.0-2
netwatch-tui 0.26.1-1
nexusmods-app-bin 0.21.1-1
nodejs-addon-api 8.9.0-1
ntfsfixboot 1.0-4
nvrs-bin 0.1.9-1
odin-git r17931.683d40db6-1
odinls-git dev_2026_05.r157.g85e37fe-1
open-goal-launcher-bin 2.10.4-3
openai-codex-bin 0.145.0-2
ouch-git r1528.80ed9cf-1
pacsea-git 0.8.2.r48.gb6511fe8-1
pacseek-git 1.8.6.250.fb1fc9a-1
pear-desktop-bin 3.12.0-1
perl-file-next 1.18-7
piper-tts-git-debug 1:1.4.2.r6.g961b61c-1
pipes-rs 1.6.4-1
posting 2.9.2-1
protonhax 1.0.5-4
python-cached-property 2.0.1-1
python-click-default-group 1.2.4-3
python-diskcache 5.6.3-2.2
python-openapi-pydantic 0.5.1+r37+g0766d59-3
python-pylspci 0.4.3-1
python-pywlroots 0.17.0-5
python-textual-autocomplete 4.0.6-1
quickshell-git 0.3.0.r18.g10b439f-1
razer-cli 2.3.1-1
rchess 0.7.3-1
resterm-bin 0.47.3-1
retroarch-git 1.22.2.r3491.7c0ca1646a-1
ripunzip 2.0.4-2
rr 5.9.0-2
rustfs-cli-bin 0.1.25-1
seanime-bin 3.10.2-0
sendme-bin 0.36.0-1
sgdboop 1.3.2-1
speedtest-go 1.7.10-1
spotatui 0.40.2-1
stabilitymatrix 2.15.7-1
supabase-bin 2.109.1-2
tanin-git 0.1.0.r11.g3df86a9-1
tenki 1.11.0-1
timr 1.11.0-1
tirith 0.3.3-1
tlrc 1.13.1-1
todoist-appimage 9.29.1-1
tofi-git r262.1eb6137-1
tree-sitter-cli-git 0.26.11.r335.g65b5b03c9-1
tsui 0.2.0-1
ttf-muli 3.000-2
tty-share-bin 2.4.1-2
tuxedo-git 2026.7.1.r2.g8c990c0-1
twintaillauncher-bin 2.3.0-1
updpkgsrcs 0.1.7-1
vial-appimage 0.7.5-2
vm-curator 1.2.2-1
vulkan-caps-viewer-wayland 1:4.11-1
wallpaperengine-gui 1.2.0-1
whatsie 5.1.0.r2.g61da603-1
whisper.cpp-cuda 1.9.1-2
wleave 0.7.1-1
wlroots0.17 0.17.4-4
wordnet-common 3.1-16
wordnet-dictd 3.1-16
wordnet-progs 3.1-16
wormhole-rs 0.8.1-1
wrkflw-bin 0.8.0-1
xorg-xwayland-hidpi-xprop 24.1.13-1
xurl 1.2.2-1
yazi-nightly-bin 26.5.6.20260722.58f1013-1
zmk-studio-bin 0.3.1-2
zsa-keymapp-bin 1.3.7-1
zvm 0.8.27-1
