7zip 26.02-1
a52dec 0.8.0-3
aalib 1.4rc5-19
aardvark-dns 2.0.0-1
abseil-cpp 20260526.0-2
accountsservice 26.27.3-1
acl 2.4.0-1
ada 3.4.4-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
aichat 0.30.0-3
alsa-card-profiles 1:1.6.8-1
alsa-lib 1.2.16.1-1
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
amd-ucode 20260622-1
aom 3.14.1-1
apache-orc 2.3.1-1
app2unit-git 1.4.2.r0.gdf91c75-1
appmenu-gtk-module 25.04-3
appstream 1.1.4-2
apr 1.7.6-1
apr-util 1.6.3-2
aquamarine-git 0.13.0.r4.gaaed248-1
arch-install-scripts 31-1
archiso 88-1
archlinux-keyring 20260707.1-1
argon2 20190702-6
arp-scan 1.10.0-5
arrow 24.0.0-5
asar 4.2.1-1
asciidoc 10.2.1-3
asciiquarium 1.1-7
asio 1.38.0-1
ast-grep 0.44.1-1
at-spi2-core 2.60.5-1
atkmm 2.28.5-2
attr 2.6.0-1
aubio 0.4.9-24
audit 4.1.4-2
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1
aws-c-auth 0.10.1-1
aws-c-cal 0.9.13-1
aws-c-common 0.12.6-1
aws-c-compression 0.3.2-1
aws-c-event-stream 0.7.0-1
aws-c-http 0.10.14-1
aws-c-io 0.26.3-1
aws-c-mqtt 0.15.2-1
aws-c-s3 0.12.2-1
aws-c-sdkutils 0.2.4-1
aws-checksums 0.2.10-1
aws-crt-cpp 0.38.5-1
aws-sdk-cpp-core 1.11.792-1
aws-sdk-cpp-iam 1.11.792-1
aws-sdk-cpp-s3 1.11.792-1
awww 0.12.1-1
ayatana-ido 0.10.4-1
babl 0.1.126-1
base 3-3
base-devel 1-2
bash 5.3.15-1
bash-completion 2.18.0-1
bat 0.26.1-2
bat-extras 2024.08.24-1
bcc-libbpf-tools 0.36.1-3
bfs 4.1.4-1
bibata-cursor-theme 2.0.7-1.1
bind 9.20.26-1
binutils 2.46.1+r3+g046eeeef4721-1
bison 3.8.2-8
blas 3.12.1-2
blueman 2.4.6-2
blueprint-compiler 0.22.2-1
bluetui 0.8.1-2
bluez 5.87-2
bluez-deprecated-tools 5.87-2
bluez-hid2hci 5.87-2
bluez-libs 5.87-2
bluez-obex 5.87-2
bluez-utils 5.87-2
bob 4.1.7-1
boost 1.91.0-2
boost-libs 1.91.0-2
botan 3.12.0-1
bottom 0.14.6-1
breezy 3.3.21-2
brightnessctl 0.5.1-3
broot 1.58.0-1
