7zip 25.01-1
amd-ucode 20250808-1
anthropic-claude-nativefier 37.2.6-1
app2unit-git 1.0.3.r0.gd951c2b-1
arp-scan 1.10.0-4
aubio 0.4.9-21
bacon 3.17.0-1
base 3-2
base-devel 1-2
bat 0.25.0-4
bibata-cursor-theme 2.0.7-1
blueman 2.4.6-1
bluetui 0.6-1
bluez 5.83-1
bluez-deprecated-tools 5.83-1
bluez-utils 5.83-1
bob 4.1.2-1
brightnessctl 0.5.1-3
broot 1.47.0-1
btop 1.4.4-1
btrfs-progs 6.16-1
calcure 3.2.1-1
carapace-bin 1.4.1-1
carapace-bridge-bin 1.4.1-1
cargo-audit 0.21.2-1
cargo-binstall 1.14.4-1
cargo-cache 0.8.3-4
cargo-expand 1.0.114-1
cargo-feature 0.7.0-2
cargo-flamegraph 0.6.8-1
cargo-generate 0.23.4-1
cargo-insta 1.43.1-1
cargo-llvm-cov 0.6.18-1
cargo-machete 0.9.1-1
cargo-make 0.37.24-1
cargo-nextest 0.9.102-1
cargo-outdated 0.17.0-1
cargo-tauri 2.7.0-1
cargo-udeps 0.1.57-1
cargo-update 17.0.0-1
cargo-watch 8.5.3-1
cargo-workspaces 0.4.0-1
cargo-zigbuild 0.20.1-1
cava 0.10.4-3
cbonsai 1.4.2-1
chromium 139.0.7258.66-1
clang 20.1.8-1
clapboard-git r2.d86a8a2-2
claude-code 1.0.81-1
cliphist 1:0.6.1-1
clock-rs-git r102.g76b94cb-1
cmatrix 2.0-4
compsize 1.5-2
cppcheck 2.18.1-1
cross 0.2.5-2
ctags 1:6.2.0-1
devtools 1:1.4.0-2
dioxus-cli 0.6.3-1
discord 1:0.0.104-1
docker 1:28.3.3-1
docker-desktop 4.44.2-1
dotnet-sdk-8.0 8.0.19.sdk119-1
ducker 0.4.1-1
duf 0.8.1-3
dunst 1.12.2-1
dust 1.2.3-1
efibootmgr 18-3
elixir 1.18.4-1
exercism 3.5.7-2
expac 10-11
eza 0.23.0-1
fastfetch-gif-git 2.42.0-2
fd 10.2.0-1
ffnvcodec-headers 13.0.19.0-1
file-roller 44.5-1
firefox 141.0.3-1
firefox-tridactyl 1.24.4-1
firefox-tridactyl-native 1.24.2-2
fish 4.0.2-1
flamelens 0.3.1-1
flameshot-git r2166.02469326-1
fzf 0.65.1-1
fzy 1.1-1
gamescope-nvidia 3.16.14-1
gemini-cli 0.1.21-1
ggjj 0.29.0-1
ghcup-hs-bin 0.1.50.2-1
ghostty 1.1.3-1
gimp 3.0.4-3
git 2.50.1-3
git-branchless 0.10.0-2
git-delta 0.18.2-4
github-cli 2.76.2-1
gitkraken 11.3.0-1
gitui 0.27.0-2
gleam 1.12.0-1
glow 2.1.1-1
go 2:1.24.6-1
grim 1.5.0-2
gst-plugin-pipewire 1:1.4.7-1
gvfs 1.57.2-4
gvfs-mtp 1.57.2-4
helm 3.18.4-1
hexyl 0.16.0-1
hyperfine 1.19.0-1
hyprland-meta-git 0.0.1-5
hyprland-protocols-git 0.6.4.r1.g613878c-1
inxi 3.3.38.1-1
iperf3 3.19.1-1
iwd 3.9-1
jetbrains-toolbox 2.8.1.52155-1
jj_tui 0.14.1-1
jjui-bin 0.9.1-1
jq 1.8.1-1
jqp 0.7.0-1
jujutsu 0.32.0-1
just 1.42.4-1
keepassxc 2.7.10-3
keychain 2.9.5-1
kind 0.29.0-1
kitty 0.42.2-1
kubectl 1.33.4-1
lazydocker 0.24.1-1
lazygit 0.54.2-1
lazyjj 0.5.0-1
lazyjournal 0.7.9-1
ldns 1.8.4-1
lib32-nvidia-utils 580.76.05-1
libpulse 17.0+r43+g3e2bb8a1e-1
libqalculate 5.6.0-1
libreoffice-fresh 25.2.5-2
libva-nvidia-driver 0.0.14-1
libvdpau-va-gl 0.4.2-4
linux 6.16.1.arch1-1
linux-firmware-amdgpu 20250808-1
linux-firmware-mediatek 20250808-1
linux-firmware-nvidia 20250808-1
linux-firmware-other 20250808-1
linux-firmware-realtek 20250808-1
linux-firmware-whence 20250808-1
linux-headers 6.16.1.arch1-1
lostfiles 4.14-1
lua-language-server 3.15.0-1
luacheck 1.2.0-2
luarocks 3.12.2-1
lxappearance 0.6.4-1
ly 1.1.2-1
man-db 2.13.1-1
man-pages 6.15-1
mangohud 0.8.1-1
mergiraf 0.13.0-1
mesa-utils 9.0.0-7
meson 1.8.3-1
mise 2025.8.7-1
mold 2.40.4-1
moreutils 0.70-1
mpd 0.24.5-1
mpv 1:0.40.0-5
mpvpaper-git r115.7342c53-1
namcap 3.5.2-3
nano 8.5-1
ncspot 1.3.0-1
neofetch 7.1.0-2
neohtop 1.2.0-1
neovide 0.15.0-1
neovim 0.11.3-1
nerdctl 2.1.3-1
network-manager-applet 1.36.0-1
networkmanager 1.54.0-1
nexusmods-app-bin 0.15.2-1
nim 2.0.8-1
nitrogen 1.6.1-6
noto-fonts-emoji 1:2.048-1
npm 11.5.2-1
ntfs-3g 2022.10.3-2
ntfsfixboot 1.0-4
nushell 0.106.1-1
nvidia-container-toolkit 1.17.8-1
nvidia-dkms 580.76.05-4
nvidia-settings 580.76.05-1
nvidia-utils 580.76.05-4
nvrs 0.1.7-1
nvtop 3.2.0-1
nwg-look 1.0.6-1
oblivion-desktop-bin 2.106.5-0
obsidian 1.8.10-1
opam 2.4.1-2
openrazer-daemon 3.10.3-1
openrgb 1.0rc1-1
openssh 10.0p1-4
otf-font-awesome 7.0.0-4
otf-font-awesome-4 4.7.0-7
pacman-contrib 1.12.0-1
pacseek-git 1.8.5.247.a387593-1
pamixer 1.6-3
pandoc-bin 3.7.0.2-1
papirus-icon-theme 20250501-1
paru 2.1.0-1
pavucontrol 1:6.1-1
pfetch-rs 2.11.1-1
pipewire 1:1.4.7-1
pipewire-alsa 1:1.4.7-1
