7zip 25.01-1
aalib 1.4rc5-19
aardvark-dns 1.15.0-1
abseil-cpp 20250512.1-1
acl 2.3.2-1
adwaita-cursors 48.1-1
adwaita-fonts 49.0-2
adwaita-icon-theme 48.1-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.7-1
alsa-lib 1.2.14-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
amd-ucode 20250808-1
anthropic-claude-nativefier 37.2.6-1
aom 3.12.1-1
app2unit-git 1.0.3.r0.gd951c2b-1
appimagelauncher 2.2.0-9
appstream 1.0.5-2
appstream-glib 0.8.3-2
apr 1.7.6-1
apr-util 1.6.3-2
aquamarine-git 0.9.2.r4.g498f466-1
arch-install-scripts 29-1
archlinux-keyring 20250807.1-1
argon2 20190702-6
arp-scan 1.10.0-4
at-spi2-core 2.56.4-1
atkmm 2.28.4-1
attr 2.5.2-1
aubio 0.4.9-21
audit 4.0.5-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc2-1
ayatana-ido 0.10.4-1
babl 0.1.114-1
bacon 3.17.0-1
base 3-2
base-devel 1-2
bash 5.3.3-2
bat 0.25.0-4
bibata-cursor-theme 2.0.7-1
binutils 2.45+r29+g2b2e51a31ec7-1
bison 3.8.2-8
blas 3.12.1-2
blueman 2.4.6-1
bluetui 0.6-1
bluez 5.83-1
bluez-deprecated-tools 5.83-1
bluez-libs 5.83-1
bluez-utils 5.83-1
bob 4.1.2-1
boost-libs 1.88.0-3
botan 3.8.1-1
botan2 2.19.5-2
breezy 3.3.12-1
brightnessctl 0.5.1-3
broot 1.47.0-1
brotli 1.1.0-3
btop 1.4.4-1
btrfs-progs 6.16-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.115-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
calcure 3.2.1-1
capstone 5.0.6-1
carapace-bin 1.4.1-1
carapace-bridge-bin 1.4.1-1
cargo-audit 0.21.2-1
cargo-binstall 1.14.4-1
cargo-cache 0.8.3-4
cargo-expand 1.0.114-1
cargo-feature 0.7.0-2
cargo-flamegraph 0.6.8-1
cargo-generate 0.23.4-1
cargo-insta 1.43.1-1
cargo-llvm-cov 0.6.18-1
cargo-machete 0.9.1-1
cargo-make 0.37.24-1
cargo-nextest 0.9.102-1
cargo-outdated 0.17.0-1
cargo-tauri 2.7.0-1
cargo-udeps 0.1.57-1
cargo-update 17.0.0-1
cargo-watch 8.5.3-1
cargo-workspaces 0.4.0-1
cargo-zigbuild 0.20.1-1
catatonit 0.2.1-2
cava 0.10.4-3
cblas 3.12.1-2
cbonsai 1.4.2-1
chafa 1.16.2-1
chromaprint 1.5.1-10
chromium 139.0.7258.66-1
clang 20.1.8-1
clang19 19.1.7-1
clapboard-git r2.d86a8a2-2
claude-code 1.0.81-1
